iter	Passed	Remaining
588	21240	29246
589	21276	29209
590	21313	29174
591	21349	29139
592	21386	29104
593	21423	29069
594	21459	29033
595	21496	28998
596	21532	28962
597	21568	28925
598	21603	28888
599	21639	28852
600	21676	28818
601	21712	28782
602	21747	28744
603	21783	28707
604	21818	28670
605	21854	28634
606	21889	28597
607	21925	28560
608	21960	28523
609	21997	28488
610	22032	28450
611	22068	28415
612	22105	28379
613	22140	28343
614	22176	28306
615	22213	28271
616	22249	28235
617	22286	28200
618	22321	28163
619	22356	28126
620	22392	28090
621	22430	28056
622	22466	28020
623	22502	27984
624	22538	27948
625	22585	27924
626	22627	27896
627	22664	27861
628	22700	27824
629	22735	27787
630	22772	27752
631	22809	27717
632	22843	27679
633	22881	27645
634	22917	27609
635	22952	27572
636	22989	27536
637	23025	27500
638	23061	27464
639	23097	27428
640	23134	27392
641	23169	27356
642	23206	27320
643	23241	27284
644	23277	27247
645	23313	27211
646	23348	27174
647	23385	27138
648	23421	27102
649	23456	27065
650	23492	27028
651	23527	26991
652	23562	26954
653	23597	26917
654	23633	26880
655	23668	26843
656	23705	26808
657	23741	26772
658	23777	26736
659	23814	26701
660	23850	26664
661	23886	26628
662	23922	26592
663	23958	26555
664	23995	26520
665	24031	26485
666	24069	26450
667	24104	26414
668	24140	26377
669	24176	26341
670	24211	26304
671	24247	26267
672	24283	26231
673	24319	26195
674	24355	26159
675	24391	26123
676	24428	26088
677	24464	26052
678	24500	26016
679	24535	25979
680	24572	25943
681	24608	25907
682	24645	25872
683	24680	25835
684	24717	25799
685	24754	25764
686	24790	25728
687	24827	25693
688	24862	25656
689	24899	25620
690	24934	25584
691	24971	25548
692	25007	25513
693	25043	25476
694	25080	25441
695	25117	25406
696	25154	25370
697	25190	25335
698	25226	25298
699	25262	25262
700	25297	25225
701	25335	25191
702	25371	25154
703	25407	25118
704	25443	25082
705	25480	25047
706	25516	25010
707	25551	24974
708	25586	24936
709	25622	24900
710	25658	24864
711	25694	24828
712	25730	24791
713	25765	24754
714	25801	24718
715	25836	24681
716	25872	24645
717	25909	24610
718	25945	24573
719	25981	24537
720	26017	24501
721	26052	24464
722	26087	24427
723	26123	24391
724	26159	24354
725	26195	24318
726	26230	24282
727	26265	24245
728	26300	24208
729	26337	24172
730	26372	24135
731	26408	24099
732	26444	24063
733	26480	24027
734	26517	23991
735	26552	23954
736	26588	23918
737	26623	23881
738	26659	23845
739	26697	23811
740	26733	23775
741	26769	23739
742	26805	23702
743	26842	23667
744	26879	23632
745	26915	23596
746	26951	23560
747	26987	23524
748	27023	23487
749	27058	23451
750	27095	23415
751	27130	23378
752	27167	23342
753	27204	23307
754	27240	23271
755	27277	23236
756	27313	23200
757	27349	23164
758	27386	23128
759	27422	23093
760	27460	23058
761	27496	23022
762	27533	22986
763	27569	22950
764	27606	22915
765	27642	22878
766	27678	22842
767	27714	22806
768	27749	22770
769	27787	22734
770	27823	22699
771	27859	22663
772	27896	22627
773	27932	22591
774	27968	22555
775	28003	22518
776	28039	22482
777	28075	22446
778	28111	22409
779	28147	22373
780	28183	22337
781	28219	22301
782	28254	22264
783	28290	22228
784	28326	22191
785	28363	22156
786	28399	22120
787	28435	22084
788	28471	22048
789	28507	22012
790	28544	21976
791	28578	21938
792	28611	21900
793	28650	21866
794	28685	21829
795	28721	21793
796	28757	21757
797	28792	21720
798	28828	21684
799	28864	21648
800	28901	21612
801	28938	21577
802	28976	21543
803	29012	21506
804	29048	21470
805	29083	21434
806	29119	21397
807	29156	21362
808	29192	21325
809	29227	21288
810	29263	21253
811	29299	21217
812	29336	21181
813	29372	21145
814	29409	21109
815	29444	21073
816	29481	21037
817	29519	21002
818	29554	20966
819	29590	20929
820	29627	20894
821	29664	20859
822	29699	20822
823	29735	20785
824	29770	20749
825	29806	20712
826	29842	20676
827	29877	20640
828	29914	20604
829	29951	20568
830	29987	20532
831	30024	20497
832	30059	20460
833	30095	20424
834	30132	20388
835	30169	20353
836	30204	20317
837	30240	20280
838	30277	20244
839	30313	20208
840	30349	20173
841	30386	20137
842	30421	20100
843	30458	20065
844	30494	20029
845	30528	19991
846	30565	19955
847	30601	19920
848	30637	19883
849	30673	19847
850	30709	19811
851	30746	19775
852	30781	19739
853	30817	19703
854	30854	19667
855	30889	19630
856	30926	19595
857	30962	19559
858	30998	19522
859	31035	19487
860	31072	19451
861	31109	19416
862	31146	19380
863	31183	19345
864	31221	19310
865	31258	19275
866	31295	19239
867	31333	19204
868	31372	19170
869	31410	19134
870	31448	19100
871	31485	19064
872	31519	19027
873	31557	18992
874	31594	18956
875	31631	18921
876	31667	18884
877	31703	18848
878	31738	18811
879	31774	18775
880	31810	18739
881	31845	18703
882	31882	18667
883	31918	18630
884	31954	18595
885	31991	18559
886	32028	18523
887	32064	18487
888	32103	18453
889	32142	18418
890	32179	18383
891	32217	18348
892	32254	18312
893	32290	18276
894	32325	18239
895	32360	18203
896	32396	18166
897	32434	18131
898	32470	18095
899	32507	18059
900	32542	18023
901	32577	17986
902	32614	17950
903	32650	17914
904	32687	17878
905	32724	17843
906	32761	17807
907	32797	17771
908	32833	17734
909	32870	17699
910	32906	17663
911	32944	17627
912	32979	17591
913	33017	17556
914	33054	17520
915	33090	17484
916	33127	17449
917	33165	17413
918	33201	17377
919	33238	17342
920	33275	17306
921	33312	17270
922	33347	17233
