iter	Passed	Remaining
566	2961	4350
567	2966	4345
568	2971	4339
569	2976	4334
570	2981	4328
571	2986	4323
572	2991	4318
573	2996	4312
574	3001	4306
575	3006	4301
576	3012	4296
577	3017	4291
578	3022	4285
579	3027	4280
580	3032	4274
581	3037	4269
582	3042	4263
583	3047	4258
584	3052	4252
585	3057	4247
586	3062	4242
587	3067	4236
588	3072	4231
589	3077	4225
590	3083	4220
591	3088	4215
592	3093	4210
593	3098	4204
594	3104	4199
595	3109	4194
596	3114	4189
597	3119	4183
598	3132	4188
599	3137	4183
600	3142	4177
601	3147	4172
602	3152	4167
603	3157	4161
604	3163	4156
605	3168	4151
606	3173	4146
607	3178	4140
608	3183	4135
609	3188	4129
610	3193	4124
611	3199	4119
612	3204	4114
613	3209	4109
614	3214	4103
615	3220	4098
616	3226	4094
617	3231	4088
618	3236	4083
619	3242	4079
620	3247	4073
621	3252	4068
622	3257	4063
623	3263	4058
624	3268	4053
625	3273	4048
626	3279	4042
627	3284	4037
628	3289	4032
629	3294	4027
630	3300	4021
631	3305	4016
632	3310	4011
633	3315	4006
634	3321	4001
635	3326	3996
636	3332	3991
637	3337	3985
638	3342	3980
639	3347	3975
640	3353	3970
641	3358	3965
642	3364	3960
643	3369	3955
644	3374	3949
645	3379	3945
646	3385	3939
647	3390	3934
648	3395	3929
649	3400	3924
650	3406	3918
651	3411	3913
652	3417	3909
653	3422	3904
654	3427	3898
655	3432	3893
656	3438	3888
657	3443	3883
658	3448	3877
659	3453	3872
660	3459	3867
661	3464	3862
662	3469	3857
663	3475	3852
664	3481	3847
665	3486	3842
666	3491	3837
667	3496	3831
668	3502	3826
669	3507	3821
670	3512	3816
671	3517	3810
672	3522	3805
673	3528	3800
674	3533	3795
675	3539	3790
676	3544	3785
677	3549	3779
678	3554	3774
679	3559	3768
680	3564	3763
681	3569	3758
682	3575	3753
683	3580	3748
684	3585	3742
685	3590	3737
686	3596	3732
687	3601	3727
688	3606	3722
689	3611	3716
690	3616	3711
691	3622	3705
692	3627	3700
693	3632	3695
694	3637	3690
695	3643	3685
696	3648	3680
697	3654	3674
698	3659	3670
699	3664	3664
700	3670	3659
701	3675	3654
702	3680	3649
703	3685	3644
704	3691	3639
705	3696	3633
706	3701	3628
707	3706	3623
708	3712	3618
709	3717	3612
710	3722	3607
711	3727	3601
712	3732	3596
713	3738	3591
714	3743	3586
715	3748	3581
716	3754	3576
717	3758	3570
718	3764	3565
719	3769	3559
720	3774	3554
721	3780	3549
722	3785	3544
723	3790	3539
724	3795	3533
725	3800	3528
726	3805	3522
727	3810	3517
728	3815	3512
729	3820	3506
730	3826	3501
731	3831	3496
732	3836	3491
733	3841	3485
734	3846	3480
735	3851	3475
736	3857	3469
737	3862	3464
738	3867	3459
739	3872	3453
740	3877	3448
741	3882	3443
742	3887	3437
743	3893	3432
744	3898	3427
745	3903	3422
746	3909	3417
747	3914	3412
748	3919	3406
749	3924	3401
750	3930	3396
751	3935	3391
752	3940	3385
753	3945	3380
754	3951	3375
755	3956	3370
756	3961	3365
757	3967	3359
758	3972	3354
759	3977	3349
760	3982	3344
761	3987	3338
762	3992	3333
763	3998	3328
764	4003	3323
765	4008	3317
766	4014	3312
767	4019	3307
768	4024	3302
769	4030	3297
770	4035	3292
771	4040	3287
772	4046	3281
773	4051	3277
774	4057	3271
775	4062	3266
776	4067	3261
777	4072	3256
778	4077	3250
779	4082	3245
780	4088	3240
781	4093	3235
782	4099	3229
783	4103	3224
784	4109	3219
785	4114	3214
786	4119	3208
787	4124	3203
788	4129	3198
789	4135	3193
790	4140	3187
791	4145	3182
792	4150	3177
793	4155	3171
794	4160	3166
795	4166	3161
796	4171	3155
797	4176	3150
798	4181	3145
799	4186	3139
800	4191	3134
801	4196	3128
802	4201	3123
803	4206	3118
804	4212	3113
805	4217	3107
806	4222	3102
807	4227	3097
808	4232	3092
809	4238	3087
810	4243	3081
811	4248	3076
812	4253	3071
813	4258	3065
814	4264	3060
815	4269	3055
816	4274	3050
817	4279	3044
818	4284	3039
819	4289	3034
820	4294	3028
821	4300	3023
822	4305	3018
823	4310	3013
824	4315	3007
825	4320	3002
826	4325	2997
827	4330	2991
828	4335	2986
829	4340	2981
830	4345	2975
831	4351	2970
832	4356	2965
833	4361	2960
834	4366	2954
835	4371	2949
836	4377	2944
837	4382	2938
838	4387	2933
839	4392	2928
840	4398	2923
841	4403	2918
842	4408	2913
843	4414	2907
844	4419	2902
845	4424	2897
846	4429	2892
847	4435	2886
848	4440	2881
849	4445	2876
850	4450	2870
851	4455	2865
852	4460	2860
853	4465	2854
854	4470	2849
855	4475	2844
856	4481	2839
857	4486	2834
858	4491	2828
859	4496	2823
860	4501	2818
861	4506	2812
862	4511	2807
863	4516	2802
864	4521	2796
865	4526	2791
866	4531	2786
867	4537	2781
868	4542	2775
869	4548	2770
870	4553	2765
871	4558	2760
872	4563	2754
873	4568	2749
874	4574	2744
875	4579	2739
876	4584	2733
877	4589	2728
878	4594	2723
879	4599	2717
880	4604	2712
881	4610	2707
882	4615	2702
883	4620	2697
884	4625	2691
885	4630	2686
886	4636	2681
887	4641	2676
888	4646	2670
889	4651	2665
890	4656	2660
891	4662	2655
892	4667	2649
893	4672	2644
894	4677	2639
895	4682	2634
896	4688	2628
897	4693	2623
898	4699	2618
899	4704	2613
900	4709	2608
901	4714	2603
902	4720	2597
903	4725	2592
904	4730	2587
905	4735	2582
906	4741	2576
907	4746	2571
908	4750	2566
909	4756	2561
910	4761	2556
911	4767	2550
912	4772	2545
913	4777	2540
914	4782	2535
915	4787	2529
916	4792	2524
917	4798	2519
918	4803	2513
919	4808	2508
920	4813	2503
921	4818	2498
922	4824	2493
923	4829	2488
924	4834	2482
925	4840	2477
926	4845	2472
927	4850	2467
928	4855	2461
929	4860	2456
930	4865	2451
931	4871	2445
932	4876	2440
933	4881	2435
934	4886	2430
935	4892	2425
936	4898	2420
937	4903	2415
938	4908	2409
939	4913	2404
940	4918	2399
941	4924	2394
942	4929	2388
943	4934	2383
944	4939	2378
945	4945	2373
946	4950	2368
947	4956	2363
948	4961	2357
949	4966	2352
950	4972	2347
951	4977	2342
952	4982	2336
953	4987	2331
954	4993	2326
955	4998	2321
956	5004	2316
957	5009	2311
958	5014	2305
959	5019	2300
960	5024	2295
961	5029	2290
962	5035	2285
963	5040	2279
964	5045	2274
965	5051	2269
966	5056	2264
967	5061	2258
968	5066	2253
969	5071	2248
970	5076	2242
971	5081	2237
972	5086	2232
973	5092	2227
974	5097	2222
975	5102	2216
976	5108	2211
977	5113	2206
978	5118	2201
979	5124	2196
980	5129	2190
981	5134	2185
982	5139	2180
983	5145	2175
984	5150	2170
985	5156	2164
986	5161	2159
987	5166	2154
988	5171	2149
989	5176	2143
990	5181	2138
991	5186	2133
992	5192	2128
993	5197	2122
994	5202	2117
995	5208	2112
996	5213	2107
997	5218	2102
998	5224	2096
999	5229	2091
1000	5234	2086
1001	5239	2081
1002	5245	2076
1003	5250	2071
1004	5255	2065
1005	5260	2060
1006	5266	2055
1007	5271	2049
1008	5276	2044
1009	5281	2039
1010	5286	2034
1011	5291	2028
1012	5297	2023
1013	5302	2018
1014	5307	2013
1015	5313	2008
1016	5317	2002
1017	5323	1997
1018	5328	1992
1019	5333	1987
1020	5338	1981
1021	5344	1976
1022	5349	1971
1023	5354	1966
1024	5360	1961
1025	5365	1955
1026	5370	1950
1027	5376	1945
1028	5381	1940
1029	5387	1935
1030	5392	1929
1031	5397	1924
1032	5402	1919
1033	5407	1914
1034	5412	1908
1035	5418	1903
1036	5423	1898
1037	5428	1893
1038	5433	1887
1039	5439	1882
1040	5444	1877
1041	5449	1872
1042	5454	1866
1043	5459	1861
1044	5464	1856
1045	5469	1851
1046	5474	1845
1047	5480	1840
1048	5485	1835
1049	5490	1830
1050	5495	1824
1051	5500	1819
1052	5505	1814
1053	5510	1809
1054	5515	1803
1055	5521	1798
1056	5526	1793
1057	5531	1788
1058	5536	1782
1059	5542	1777
1060	5547	1772
1061	5552	1767
1062	5557	1761
1063	5562	1756
1064	5568	1751
1065	5573	1746
1066	5578	1740
1067	5583	1735
1068	5589	1730
1069	5594	1725
1070	5599	1720
1071	5604	1714
1072	5610	1709
1073	5615	1704
1074	5620	1699
1075	5625	1694
1076	5631	1688
1077	5636	1683
1078	5641	1678
1079	5646	1673
1080	5651	1667
1081	5657	1662
1082	5662	1657
1083	5668	1652
1084	5673	1647
1085	5679	1642
1086	5684	1636
1087	5690	1631
1088	5695	1626
1089	5700	1621
1090	5705	1616
1091	5711	1610
1092	5716	1605
1093	5721	1600
1094	5727	1595
1095	5732	1590
1096	5737	1584
1097	5742	1579
1098	5747	1574
1099	5752	1568
1100	5758	1563
1101	5763	1558
1102	5768	1553
1103	5773	1548
1104	5779	1542
1105	5784	1537
1106	5789	1532
1107	5794	1527
1108	5799	1521
1109	5804	1516
1110	5809	1511
1111	5814	1505
1112	5819	1500
1113	5824	1495
1114	5829	1490
1115	5835	1484
1116	5840	1479
1117	5845	1474
1118	5850	1469
1119	5855	1463
1120	5860	1458
1121	5866	1453
1122	5871	1448
1123	5876	1443
1124	5882	1437
1125	5887	1432
1126	5892	1427
1127	5897	1422
1128	5903	1417
1129	5908	1411
1130	5913	1406
1131	5919	1401
1132	5924	1396
1133	5930	1391
1134	5935	1385
1135	5940	1380
1136	5945	1375
1137	5951	1370
1138	5956	1364
1139	5961	1359
1140	5966	1354
1141	5972	1349
1142	5977	1344
1143	5982	1338
1144	5987	1333
1145	5993	1328
1146	5998	1323
1147	6003	1317
1148	6008	1312
1149	6014	1307
1150	6019	1302
1151	6024	1297
1152	6029	1291
1153	6034	1286
1154	6040	1281
1155	6045	1276
1156	6050	1270
1157	6055	1265
1158	6061	1260
1159	6066	1255
1160	6071	1249
1161	6077	1244
1162	6082	1239
1163	6087	1234
1164	6092	1229
1165	6098	1223
1166	6102	1218
1167	6108	1213
1168	6113	1207
1169	6118	1202
1170	6123	1197
1171	6128	1192
1172	6133	1186
1173	6138	1181
1174	6143	1176
1175	6149	1171
1176	6154	1166
1177	6160	1160
1178	6165	1155
1179	6171	1150
1180	6176	1145
1181	6181	1140
1182	6186	1134
1183	6192	1129
1184	6197	1124
1185	6202	1119
1186	6207	1113
1187	6213	1108
1188	6218	1103
1189	6223	1098
1190	6228	1093
1191	6234	1087
1192	6239	1082
1193	6244	1077
1194	6249	1072
1195	6254	1066
1196	6259	1061
1197	6265	1056
1198	6270	1051
1199	6275	1045
1200	6281	1040
1201	6286	1035
1202	6291	1030
1203	6297	1025
1204	6302	1019
1205	6307	1014
1206	6313	1009
1207	6318	1004
1208	6323	999
1209	6328	993
1210	6334	988
1211	6339	983
1212	6344	978
1213	6350	972
1214	6355	967
1215	6360	962
1216	6366	957
1217	6371	952
1218	6376	946
1219	6382	941
1220	6387	936
1221	6392	931
1222	6397	925
1223	6403	920
1224	6408	915
1225	6413	910
1226	6419	905
1227	6424	899
1228	6429	894
1229	6434	889
1230	6439	884
1231	6444	878
1232	6450	873
1233	6455	868
1234	6460	863
1235	6466	857
1236	6471	852
1237	6476	847
1238	6481	842
1239	6486	837
1240	6492	831
1241	6497	826
1242	6502	821
1243	6507	816
1244	6512	810
1245	6518	805
1246	6523	800
1247	6528	795
1248	6533	789
1249	6538	784
1250	6543	779
1251	6548	774
1252	6553	768
1253	6559	763
1254	6564	758
1255	6570	753
1256	6575	748
1257	6580	742
1258	6585	737
1259	6591	732
1260	6596	727
1261	6601	721
1262	6606	716
1263	6611	711
1264	6616	706
1265	6621	700
1266	6626	695
1267	6632	690
1268	6637	685
1269	6642	679
1270	6647	674
1271	6653	669
1272	6658	664
1273	6663	659
1274	6669	653
1275	6674	648
1276	6679	643
1277	6684	638
1278	6689	632
